GCAM_commodity,GCAM_region_ID,iso,Nfixkg,totval,Nfixkg.yld
Legumes,5,lbr,163510.77754306604,57445,2.8463883287155722
Legumes,5,mli,4769124.951513492,2192658,2.175042779819512
Legumes,5,mrt,560201.1493730107,809653,0.6919027649783435
Legumes,5,ner,49409592.55690268,14081950,3.508718079307388
Legumes,5,nga,128229059.03586553,47069154,2.7242694660682774
Legumes,5,sen,3287779.7492188187,897333,3.66394610386425
Legumes,5,sle,2913156.5282678585,1047346,2.7814652734319494
Legumes,5,tcd,1655279.5361846136,1921155,0.8616064483004305
Legumes,5,tgo,1713358.3047279543,1135422,1.5090057306692617
Legumes,6,aus,43141065.54820243,34606702,1.2466101377762733
