scenario,region,GCAM_region_ID,year,gdpcap1q
PotYld,Middle East,21,2040,1180.2138574614496
PotYld,Middle East,21,2050,1430.9536612495524
PotYld,Pakistan,22,2020,112.59938437812075
PotYld,Pakistan,22,2030,145.263309442398
PotYld,Pakistan,22,2040,216.03267271747225
PotYld,Pakistan,22,2050,329.86641563397353
PotYld,Russia,23,2020,936.7763711851464
PotYld,Russia,23,2030,1178.08558332388
PotYld,Russia,23,2040,1451.1375377273023
PotYld,Russia,23,2050,1622.32137755913
PotYld,South Africa,24,2020,11.461320841334059
PotYld,South Africa,24,2030,23.79350643377331
PotYld,South Africa,24,2040,43.34303804919483
PotYld,South Africa,24,2050,75.15892540078028
PotYld,South America_Northern,25,2020,NA
PotYld,South America_Northern,25,2030,NA
PotYld,South America_Northern,25,2040,NA
PotYld,South America_Northern,25,2050,NA
PotYld,South America_Southern,26,2020,432.1245183571962
PotYld,South America_Southern,26,2030,570.303206028484
PotYld,South America_Southern,26,2040,757.6071541326455
PotYld,South America_Southern,26,2050,1012.7500215825967
PotYld,South Asia,27,2020,110.56556151367712
PotYld,South Asia,27,2030,171.86258934306883
PotYld,South Asia,27,2040,252.16607175906358
PotYld,South Asia,27,2050,372.91018578273406
PotYld,South Korea,28,2020,2406.804718426845
PotYld,South Korea,28,2030,3174.868007431877
PotYld,South Korea,28,2040,4001.3543986538166
PotYld,South Korea,28,2050,5008.230774602474
PotYld,Southeast Asia,29,2020,315.67435503586825
PotYld,Southeast Asia,29,2030,467.8286904928438
PotYld,Southeast Asia,29,2040,663.0502323953818
PotYld,Southeast Asia,29,2050,936.5557938049755
PotYld,USA,1,2020,3267.364154375037
PotYld,USA,1,2030,3447.761184239003
PotYld,USA,1,2040,3663.579443789309
PotYld,USA,1,2050,3844.928465548904
PotYld_Diet,Africa_Eastern,2,2020,55.34977950063185
PotYld_Diet,Africa_Eastern,2,2030,78.98302730596438
PotYld_Diet,Africa_Eastern,2,2040,122.6085483560845
PotYld_Diet,Africa_Eastern,2,2050,198.6608713605289
PotYld_Diet,Africa_Northern,3,2020,322.6174479242474
PotYld_Diet,Africa_Northern,3,2030,450.9935609559776
PotYld_Diet,Africa_Northern,3,2040,634.542743564384
PotYld_Diet,Africa_Northern,3,2050,880.0256072189518
PotYld_Diet,Africa_Southern,4,2020,73.87414444170679
PotYld_Diet,Africa_Southern,4,2030,93.98595513008337
PotYld_Diet,Africa_Southern,4,2040,130.06522631290483
PotYld_Diet,Africa_Southern,4,2050,194.78010866515007
PotYld_Diet,Africa_Western,5,2020,93.22223695159924
PotYld_Diet,Africa_Western,5,2030,126.49760916808613
PotYld_Diet,Africa_Western,5,2040,198.8857928774027
PotYld_Diet,Africa_Western,5,2050,311.1202513270688
PotYld_Diet,Argentina,31,2020,738.4580222348277
PotYld_Diet,Argentina,31,2030,971.5282291777754
PotYld_Diet,Argentina,31,2040,1229.7614207194058
PotYld_Diet,Argentina,31,2050,1544.9101572730306
PotYld_Diet,Australia_NZ,6,2020,5223.9918597994065
PotYld_Diet,Australia_NZ,6,2030,5848.65369192541
PotYld_Diet,Australia_NZ,6,2040,6477.4141709021205
PotYld_Diet,Australia_NZ,6,2050,7204.745712767433
PotYld_Diet,Brazil,7,2020,373.1068025293662
PotYld_Diet,Brazil,7,2030,437.4548243117079
PotYld_Diet,Brazil,7,2040,521.1254968552375
PotYld_Diet,Brazil,7,2050,616.7254910770849
PotYld_Diet,Canada,8,2020,5702.099479623251
PotYld_Diet,Canada,8,2030,6079.81148432384
PotYld_Diet,Canada,8,2040,6651.446197104496
PotYld_Diet,Canada,8,2050,7148.796098789365
PotYld_Diet,Central America and Caribbean,9,2020,262.9555275059767
PotYld_Diet,Central America and Caribbean,9,2030,351.99660426753707
PotYld_Diet,Central America and Caribbean,9,2040,488.151558825904
PotYld_Diet,Central America and Caribbean,9,2050,695.1163768992823
PotYld_Diet,Central Asia,10,2020,577.2315826533116
PotYld_Diet,Central Asia,10,2030,833.0368790061816
PotYld_Diet,Central Asia,10,2040,1110.076027413747
PotYld_Diet,Central Asia,10,2050,1359.5499195322022
PotYld_Diet,China,11,2020,577.8166286813752
PotYld_Diet,China,11,2030,962.5856842632287
PotYld_Diet,China,11,2040,1373.529888598935
PotYld_Diet,China,11,2050,1848.1075372776932
PotYld_Diet,Colombia,32,2020,310.8930379679076
PotYld_Diet,Colombia,32,2030,383.321619682327
PotYld_Diet,Colombia,32,2040,477.9578981023308
PotYld_Diet,Colombia,32,2050,594.4960820765032
PotYld_Diet,EU-12,12,2020,2055.692543392774
PotYld_Diet,EU-12,12,2030,2562.918411829348
PotYld_Diet,EU-12,12,2040,3098.036264920487
PotYld_Diet,EU-12,12,2050,3582.1728696751697
PotYld_Diet,EU-15,13,2020,4513.3400470346405
PotYld_Diet,EU-15,13,2030,5005.246184710638
PotYld_Diet,EU-15,13,2040,5650.728288420893
PotYld_Diet,EU-15,13,2050,6426.6598357074445
PotYld_Diet,Europe_Eastern,14,2020,408.61630466817275
PotYld_Diet,Europe_Eastern,14,2030,565.7183182610971
PotYld_Diet,Europe_Eastern,14,2040,756.0257860883916
PotYld_Diet,Europe_Eastern,14,2050,943.2403231598705
PotYld_Diet,Europe_Non_EU,15,2020,1073.7302663798241
PotYld_Diet,Europe_Non_EU,15,2030,1342.2477827062055
PotYld_Diet,Europe_Non_EU,15,2040,1633.3304242446798
PotYld_Diet,Europe_Non_EU,15,2050,1944.1168623739934
PotYld_Diet,European Free Trade Association,16,2020,9612.869133415468
PotYld_Diet,European Free Trade Association,16,2030,10423.565713921864
PotYld_Diet,European Free Trade Association,16,2040,11419.590615446361
PotYld_Diet,European Free Trade Association,16,2050,12784.15161878447
PotYld_Diet,India,17,2020,191.711184431966
PotYld_Diet,India,17,2030,293.06874172408106
PotYld_Diet,India,17,2040,401.0953164300994
PotYld_Diet,India,17,2050,513.4534106662127
PotYld_Diet,Indonesia,18,2020,370.22111839567435
PotYld_Diet,Indonesia,18,2030,588.4859793367141
