GCAM_commodity,GCAM_region_ID,Nfixkg,totval,Nfixkg.yld
Soybean,20,12944885.987769537,2534418,5.107636541316206
Soybean,21,442899.4901993825,82258,5.384272535186638
Soybean,22,617663.7174498244,49835,12.394175126915309
Soybean,23,74608163.29346763,24083598,3.097882770401151
Soybean,24,33676498.6242125,5231512,6.437240060657895
Soybean,25,2872.3573231357555,523,5.492079011731846
Soybean,26,361843198.24986833,86199621,4.1977353734521445
Soybean,27,3244355.142314223,886052,3.6615854851794514
Soybean,29,17360309.880346008,12422400,1.3975004733663388
Soybean,31,3509574309.3181853,562928196,6.234497284478152
Soybean,32,5747743.201235247,1211104,4.745870875858099
Soybean,NA,82171619.51554234,36598393,2.2452247975899473
SugarCrop,1,4821391.548943627,1050228079,0.004590804269425391
SugarCrop,2,1282403.7836091823,340989737,0.0037608280967388248
SugarCrop,3,2248147.4363064943,417617930,0.005383263683880849
SugarCrop,4,914173.5871767831,266700848,0.0034277115878416074
SugarCrop,5,1051841.601825495,109264168,0.009626592331948156
SugarCrop,6,10089644.078631235,621621393,0.01623117253081931
SugarCrop,7,173642990.1252112,8440305287,0.020573069838203735
SugarCrop,8,0,12507200,0
SugarCrop,9,9175727.975241965,1344293455,0.006825688201570515
SugarCrop,10,0,16263664,0
SugarCrop,11,32903961.787412398,1883854673,0.017466295176057033
SugarCrop,12,0,461641811,0
SugarCrop,13,13.65200632604983,1938990101,7.040781858045097e-9
SugarCrop,14,0,349497781,0
SugarCrop,15,0,345105045,0
SugarCrop,16,0,24409636,0
SugarCrop,17,109865981.95485386,5340525992,0.020572127561860176
SugarCrop,18,9936958.814401746,482210781,0.02060708554419845
SugarCrop,19,152677.0624481698,95263000,0.0016026900522571176
SugarCrop,20,16518561.78853001,869758646,0.018992121394249422
SugarCrop,21,2599.3268724239138,25380070,1.0241606395978868e-4
SugarCrop,22,25715583.91603663,912786585,0.028172613772623124
SugarCrop,23,0,820842704,0
SugarCrop,24,8127694.394759373,360800300,0.022526850434324397
SugarCrop,25,1090735.5055632088,57236572,0.019056618302773422
SugarCrop,26,1743296.0766691254,381886227,0.004564961900731563
SugarCrop,27,2860279.2274965704,176894425,0.01616941420000416
SugarCrop,29,16985525.349367723,2160229679,0.007862833065616687
SugarCrop,31,7632835.751123792,387286388,0.019708505095004245
SugarCrop,32,9823076.355042476,627866351,0.01564517088612458
SugarCrop,NA,1695040.8098486024,585177808,0.002896625242235096
Vegetables,1,198002.05791517397,591152009,3.349427133811432e-4
Vegetables,2,9674407.389120389,78150352,0.12379224330455209
Vegetables,3,497384.077186222,372717675,0.0013344794479795519
Vegetables,4,0,5524698,0
